 ,f,|hNSNS/hBHBH|,arg(hNSNS/hBHBH) 
val#0,1.000000000e+01,9.999614015e-01,-1.108731739e-05 
val#1,1.000037506e+01,1.000027346e+00,1.192494326e-04 
val#2,1.000075017e+01,1.000027493e+00,1.204283506e-04 
val#3,1.000112534e+01,1.000027160e+00,1.216119261e-04 
val#4,1.000150056e+01,1.000026349e+00,1.228002407e-04 
val#5,1.000187582e+01,1.000025064e+00,1.239933920e-04 
val#6,1.000225114e+01,1.000023306e+00,1.251915003e-04 
val#7,1.000262651e+01,1.000021078e+00,1.263947670e-04 
val#8,1.000300194e+01,1.000018383e+00,1.276033743e-04 
val#9,1.000337741e+01,1.000015225e+00,1.288175948e-04 
val#10,1.000375294e+01,1.000011606e+00,1.300377205e-04 
val#11,1.000412852e+01,1.000007530e+00,1.312640841e-04 
val#12,1.000450415e+01,1.000003001e+00,1.324970540e-04 
val#13,1.000487983e+01,9.999980223e-01,1.337370607e-04 
val#14,1.000525556e+01,9.999925985e-01,1.349845275e-04 
val#15,1.000563135e+01,9.999867337e-01,1.362399885e-04 
val#16,1.000600718e+01,9.999804326e-01,1.375039667e-04 
val#17,1.000638307e+01,9.999736998e-01,1.387770797e-04 
val#18,1.000675901e+01,9.999665405e-01,1.400599204e-04 
val#19,1.000713500e+01,9.999589600e-01,1.413532038e-04 
val#20,1.000751105e+01,9.999509635e-01,1.426576603e-04 
val#21,1.000788714e+01,9.999425571e-01,1.439740557e-04 
val#22,1.000826329e+01,9.999337468e-01,1.453032409e-04 
val#23,1.000863949e+01,9.999245389e-01,1.466460927e-04 
val#24,1.000901574e+01,9.999149401e-01,1.480035490e-04 
val#25,1.000939204e+01,9.999049573e-01,1.493766134e-04 
val#26,1.000976840e+01,9.998945977e-01,1.507663192e-04 
val#27,1.001014480e+01,9.998838691e-01,1.521738061e-04 
val#28,1.001052126e+01,9.998727793e-01,1.536002311e-04 
val#29,1.001089777e+01,9.998613366e-01,1.550468504e-04 
val#30,1.001127434e+01,9.998495499e-01,1.565149387e-04 
val#31,1.001165095e+01,9.998374280e-01,1.580059052e-04 
