 ,q,χ1,χ2,κ1,κ2,θ1,θ2,θ3,mismatch vs NUM BHBH, mismatch vs AN NSNS 
case#1,5.00000000e-01,3.00000000e-01,3.00000000e-01,1.00000000e+00,6.00000000e+00,3.14159265e-01,3.14159265e-01,3.14159265e-01,8.41514532e-01,9.97276375e-01 
case#2,5.00000000e-01,3.00000000e-01,3.00000000e-01,1.00000000e+00,6.00000000e+00,3.14159265e-01,3.14159265e-01,2.82743339e+00,8.66491447e-01,9.96381338e-01 
case#3,5.00000000e-01,3.00000000e-01,3.00000000e-01,1.00000000e+00,6.00000000e+00,3.14159265e-01,3.14159265e-01,5.34070751e+00,8.46403740e-01,9.99431332e-01 
case#4,5.00000000e-01,3.00000000e-01,3.00000000e-01,1.00000000e+00,6.00000000e+00,3.14159265e-01,1.88495559e+00,3.14159265e-01,1.20598800e-01,0.00000000e+00 
case#5,5.00000000e-01,3.00000000e-01,3.00000000e-01,1.00000000e+00,6.00000000e+00,3.14159265e-01,1.88495559e+00,2.82743339e+00,1.91772592e-01,0.00000000e+00 
case#6,5.00000000e-01,3.00000000e-01,3.00000000e-01,1.00000000e+00,6.00000000e+00,3.14159265e-01,1.88495559e+00,5.34070751e+00,1.33966995e-01,0.00000000e+00 
case#7,5.00000000e-01,3.00000000e-01,3.00000000e-01,1.00000000e+00,6.00000000e+00,1.88495559e+00,3.14159265e-01,3.14159265e-01,9.84124933e-01,9.99881629e-01 
case#8,5.00000000e-01,3.00000000e-01,3.00000000e-01,1.00000000e+00,6.00000000e+00,1.88495559e+00,3.14159265e-01,2.82743339e+00,9.88854714e-01,9.99213696e-01 
case#9,5.00000000e-01,3.00000000e-01,3.00000000e-01,1.00000000e+00,6.00000000e+00,1.88495559e+00,3.14159265e-01,5.34070751e+00,9.85021792e-01,9.99851020e-01 
case#10,5.00000000e-01,3.00000000e-01,3.00000000e-01,1.00000000e+00,6.00000000e+00,1.88495559e+00,1.88495559e+00,3.14159265e-01,8.86701769e-01,9.41679237e-01 
case#11,5.00000000e-01,3.00000000e-01,3.00000000e-01,1.00000000e+00,6.00000000e+00,1.88495559e+00,1.88495559e+00,2.82743339e+00,8.82147877e-01,9.40978946e-01 
case#12,5.00000000e-01,3.00000000e-01,3.00000000e-01,1.00000000e+00,6.00000000e+00,1.88495559e+00,1.88495559e+00,5.34070751e+00,8.85824749e-01,9.85380694e-01 
case#13,5.00000000e-01,3.00000000e-01,3.00000000e-01,1.00000000e+00,6.20000000e+00,3.14159265e-01,3.14159265e-01,3.14159265e-01,8.41238364e-01,9.96777927e-01 
case#14,5.00000000e-01,3.00000000e-01,3.00000000e-01,1.00000000e+00,6.20000000e+00,3.14159265e-01,3.14159265e-01,2.82743339e+00,8.66340455e-01,9.95828359e-01 
case#15,5.00000000e-01,3.00000000e-01,3.00000000e-01,1.00000000e+00,6.20000000e+00,3.14159265e-01,3.14159265e-01,5.34070751e+00,8.46271961e-01,9.99503536e-01 
case#16,5.00000000e-01,3.00000000e-01,3.00000000e-01,1.00000000e+00,6.20000000e+00,3.14159265e-01,1.88495559e+00,3.14159265e-01,1.18465748e-01,0.00000000e+00 
case#17,5.00000000e-01,3.00000000e-01,3.00000000e-01,1.00000000e+00,6.20000000e+00,3.14159265e-01,1.88495559e+00,2.82743339e+00,1.90060979e-01,0.00000000e+00 
case#18,5.00000000e-01,3.00000000e-01,3.00000000e-01,1.00000000e+00,6.20000000e+00,3.14159265e-01,1.88495559e+00,5.34070751e+00,1.31687319e-01,0.00000000e+00 
case#19,5.00000000e-01,3.00000000e-01,3.00000000e-01,1.00000000e+00,6.20000000e+00,1.88495559e+00,3.14159265e-01,3.14159265e-01,9.84109073e-01,9.99849697e-01 
case#20,5.00000000e-01,3.00000000e-01,3.00000000e-01,1.00000000e+00,6.20000000e+00,1.88495559e+00,3.14159265e-01,2.82743339e+00,9.88844488e-01,9.99142859e-01 
case#21,5.00000000e-01,3.00000000e-01,3.00000000e-01,1.00000000e+00,6.20000000e+00,1.88495559e+00,3.14159265e-01,5.34070751e+00,9.85006211e-01,9.99852001e-01 
case#22,5.00000000e-01,3.00000000e-01,3.00000000e-01,1.00000000e+00,6.20000000e+00,1.88495559e+00,1.88495559e+00,3.14159265e-01,8.86326208e-01,9.33735286e-01 
case#23,5.00000000e-01,3.00000000e-01,3.00000000e-01,1.00000000e+00,6.20000000e+00,1.88495559e+00,1.88495559e+00,2.82743339e+00,8.81878655e-01,9.33053420e-01 
case#24,5.00000000e-01,3.00000000e-01,3.00000000e-01,1.00000000e+00,6.20000000e+00,1.88495559e+00,1.88495559e+00,5.34070751e+00,8.85464474e-01,9.82685535e-01 
case#25,5.00000000e-01,3.00000000e-01,3.00000000e-01,1.00000000e+00,6.40000000e+00,3.14159265e-01,3.14159265e-01,3.14159265e-01,8.41180598e-01,9.96239078e-01 
case#26,5.00000000e-01,3.00000000e-01,3.00000000e-01,1.00000000e+00,6.40000000e+00,3.14159265e-01,3.14159265e-01,2.82743339e+00,8.66373730e-01,9.95190283e-01 
case#27,5.00000000e-01,3.00000000e-01,3.00000000e-01,1.00000000e+00,6.40000000e+00,3.14159265e-01,3.14159265e-01,5.34070751e+00,8.46205193e-01,9.99590661e-01 
case#28,5.00000000e-01,3.00000000e-01,3.00000000e-01,1.00000000e+00,6.40000000e+00,3.14159265e-01,1.88495559e+00,3.14159265e-01,1.15982169e-01,0.00000000e+00 
case#29,5.00000000e-01,3.00000000e-01,3.00000000e-01,1.00000000e+00,6.40000000e+00,3.14159265e-01,1.88495559e+00,2.82743339e+00,1.88244072e-01,0.00000000e+00 
